,season,team,player,nation,pos,age,mp,starts,minutes,ninetys,gls,ast,npg,xg,npxg,xa,np_xgoal_contrib,sh,sot,dist,fk,pkscored,pkatt,tkl,tklw,tklvsdrb,attvsdrb,press,succ,blocks,inter,err,pass_cmp,pass_att,pass_totdist,pass_prgdist,sca,sca_passlive,sca_passdead,sca_drib,sca_sh,sca_fld,sca_def,gca,gca_passlive,gca_passdead,gca_drib,gca_sh,gca_fld,gca_def,touches,touches_defthird,touches_attthird,touches_attpen,carries,carries_totdist,carries_prgdist,progcarries,progpassrec,crdy,crdr,twocrdy,fls,fld,off,recov,arlwon,arllost,player_team
230,2022_2023,Aston Villa,Matty Cash,pl POL,DF,25,6,6,475.0,5.3,0.0,0.0,0.0,0.1,0.1,0.3,0.4,3,0,24.2,0,0,0,11,6,5,12,44,17,12,7,0,197,258,3359,1046,10,9,0,1,0,0,0,0,0,0,0,0,0,0,311,82,108,9,191,1219,757,26,12,2,0,0,6,7,1,35,5,3,"Matty_Cash_['A_s_t_o_n_', '_V_i_l_l_a']"
231,2022_2023,Aston Villa,Ollie Watkins,eng ENG,FW,26,6,5,475.0,5.3,1.0,2.0,1.0,1.0,1.0,1.1,2.1,7,3,11.3,0,0,0,5,5,1,2,57,21,7,0,0,91,109,1148,160,8,8,0,0,0,0,0,2,2,0,0,0,0,0,154,11,84,17,97,446,236,11,33,0,0,0,4,6,3,17,7,28,"Ollie_Watkins_['A_s_t_o_n_', '_V_i_l_l_a']"
232,2022_2023,Aston Villa,Ezri Konsa,eng ENG,DF,24,6,5,451.0,5.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1,0,7.0,0,0,0,10,6,2,3,42,13,8,7,0,212,248,4234,1150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,172,6,2,190,825,369,12,0,1,0,0,5,7,0,39,9,6,"Ezri_Konsa_['A_s_t_o_n_', '_V_i_l_l_a']"
233,2022_2023,Aston Villa,Jacob Ramsey,eng ENG,MF,21,6,5,429.0,4.8,0.0,1.0,0.0,0.1,0.1,0.6,0.7,3,2,24.0,0,0,0,12,8,2,9,91,25,9,5,0,177,196,2611,772,12,11,0,1,0,0,0,1,1,0,0,0,0,0,255,37,94,10,190,1001,632,33,16,2,0,0,7,8,1,36,6,5,"Jacob_Ramsey_['A_s_t_o_n_', '_V_i_l_l_a']"
234,2022_2023,Aston Villa,Leon Bailey,jm JAM,"FW,MF",25,6,4,360.0,4.0,1.0,1.0,1.0,0.3,0.3,0.6,0.9,6,2,16.6,0,0,0,3,2,0,1,59,16,3,2,0,74,115,1302,337,8,7,0,1,0,0,0,1,1,0,0,0,0,0,159,15,102,13,119,660,334,20,24,0,0,0,3,2,2,21,6,14,"Leon_Bailey_['A_s_t_o_n_', '_V_i_l_l_a']"
235,2022_2023,Aston Villa,Tyrone Mings,eng ENG,DF,29,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,3,3,1,1,23,9,6,8,0,158,187,3546,1260,2,1,0,0,0,1,0,1,1,0,0,0,0,0,221,139,3,1,136,620,245,6,0,0,0,0,3,2,0,33,10,4,"Tyrone_Mings_['A_s_t_o_n_', '_V_i_l_l_a']"
236,2022_2023,Aston Villa,Philippe Coutinho,br BRA,"MF,FW",30,6,3,266.0,3.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,6,3,20.2,0,0,0,2,1,1,4,44,8,6,2,0,112,144,1769,255,7,6,0,1,0,0,0,0,0,0,0,0,0,0,183,13,88,6,133,704,349,25,20,1,0,0,6,4,2,21,4,6,"Philippe_Coutinho_['A_s_t_o_n_', '_V_i_l_l_a']"
237,2022_2023,Aston Villa,Danny Ings,eng ENG,FW,30,5,3,252.0,2.8,1.0,0.0,1.0,0.6,0.6,0.0,0.6,8,3,14.5,0,0,0,0,0,0,1,34,15,4,0,0,44,57,588,98,5,3,0,1,1,0,0,1,0,0,1,0,0,0,87,5,54,18,62,263,99,7,25,2,0,0,5,2,3,10,5,6,"Danny_Ings_['A_s_t_o_n_', '_V_i_l_l_a']"
238,2022_2023,Aston Villa,Emi Buendía,ar ARG,"FW,MF",25,6,2,246.0,2.7,1.0,0.0,1.0,1.3,1.3,0.1,1.5,5,3,11.8,0,0,0,3,2,1,6,29,9,2,0,0,108,137,2158,463,6,4,1,0,0,1,0,1,1,0,0,0,0,0,162,18,83,12,122,623,339,20,21,0,0,0,3,4,1,22,5,5,"Emi_Buendía_['A_s_t_o_n_', '_V_i_l_l_a']"
239,2022_2023,Aston Villa,Douglas Luiz,br BRA,MF,24,5,2,200.0,2.2,1.0,0.0,1.0,0.0,0.0,0.3,0.3,2,1,29.5,0,0,0,2,1,0,5,34,9,3,2,0,114,135,2279,471,7,5,1,0,1,0,0,0,0,0,0,0,0,0,159,37,36,0,106,455,245,17,4,1,0,0,3,3,0,24,2,2,"Douglas_Luiz_['A_s_t_o_n_', '_V_i_l_l_a']"
240,2022_2023,Aston Villa,Diego Carlos,br BRA,DF,29,2,2,179.0,2.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4,0,15.2,0,0,0,2,1,0,0,16,5,2,3,0,102,123,2253,689,1,0,0,0,1,0,0,0,0,0,0,0,0,0,143,57,11,4,95,341,182,4,0,0,0,0,1,0,0,19,6,4,"Diego_Carlos_['A_s_t_o_n_', '_V_i_l_l_a']"
241,2022_2023,Aston Villa,Calum Chambers,eng ENG,DF,27,2,1,91.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,2,1,1,1,15,5,4,5,0,62,71,1290,491,1,0,0,0,0,0,1,0,0,0,0,0,0,0,83,57,2,0,55,332,251,1,0,0,0,0,3,0,0,10,3,1,"Calum_Chambers_['A_s_t_o_n_', '_V_i_l_l_a']"
242,2022_2023,West Ham United,Declan Rice,eng ENG,MF,23,6,6,540.0,6.0,0.0,1.0,0.0,1.0,0.2,0.6,0.8,5,1,26.7,0,0,1,15,9,4,7,74,26,11,18,0,266,306,5305,1130,13,10,0,1,1,1,0,1,1,0,0,0,0,0,368,124,69,6,232,1428,735,23,6,1,0,0,6,1,0,69,11,3,"Declan_Rice_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
243,2022_2023,West Ham United,Tomáš Souček,cz CZE,MF,27,6,6,540.0,6.0,1.0,0.0,1.0,1.3,1.3,0.0,1.3,10,5,9.4,0,0,0,13,12,3,9,84,20,9,10,0,147,184,2704,609,11,7,0,0,3,0,1,0,0,0,0,0,0,0,242,77,52,16,125,634,227,10,4,0,0,0,12,4,0,39,17,9,"Tomáš_Souček_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
244,2022_2023,West Ham United,Kurt Zouma,fr FRA,DF,27,6,6,540.0,6.0,0.0,0.0,0.0,0.3,0.3,0.0,0.3,4,0,8.3,0,0,0,4,3,3,3,29,12,7,7,0,195,232,4130,1392,1,1,0,0,0,0,0,1,1,0,0,0,0,0,296,196,9,6,147,640,291,8,0,0,0,0,4,3,0,45,19,3,"Kurt_Zouma_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
245,2022_2023,West Ham United,Jarrod Bowen,eng ENG,FW,25,6,6,533.0,5.9,0.0,0.0,0.0,0.9,0.9,0.2,1.1,11,1,15.6,0,0,0,10,5,5,11,106,21,8,7,0,81,122,1389,316,10,3,2,1,3,1,0,0,0,0,0,0,0,0,194,29,111,28,131,702,263,19,26,0,0,0,5,15,3,27,6,14,"Jarrod_Bowen_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
246,2022_2023,West Ham United,Pablo Fornals,es ESP,"MF,FW",26,6,6,476.0,5.3,1.0,0.0,1.0,0.4,0.4,0.3,0.7,8,3,22.1,0,0,0,8,3,3,12,89,13,3,10,0,156,218,3058,965,15,13,0,0,1,1,0,0,0,0,0,0,0,0,270,51,93,9,185,792,340,14,18,0,0,0,4,6,0,35,4,14,"Pablo_Fornals_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
247,2022_2023,West Ham United,Vladimír Coufal,cz CZE,DF,30,6,5,502.0,5.6,0.0,0.0,0.0,0.1,0.1,0.3,0.4,2,0,24.7,0,0,0,6,2,2,7,52,8,7,14,0,168,265,3281,1819,8,5,2,0,0,1,0,1,0,1,0,0,0,0,320,92,108,3,154,815,503,15,6,0,0,0,5,2,0,33,6,6,"Vladimír_Coufal_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
248,2022_2023,West Ham United,Aaron Cresswell,eng ENG,DF,32,5,5,431.0,4.8,0.0,0.0,0.0,0.2,0.2,0.6,0.8,3,0,20.7,2,0,0,2,1,1,3,27,9,7,6,0,214,262,3770,1893,11,7,4,0,0,0,0,0,0,0,0,0,0,0,298,104,73,3,169,694,373,14,3,1,0,0,4,2,0,40,6,1,"Aaron_Cresswell_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
249,2022_2023,West Ham United,Michail Antonio,jm JAM,FW,32,6,5,385.0,4.3,1.0,1.0,1.0,0.8,0.8,0.2,0.9,6,1,9.3,0,0,0,3,3,0,1,68,24,4,2,0,33,56,530,84,5,4,0,0,0,1,0,1,1,0,0,0,0,0,107,12,55,15,69,332,195,10,19,1,0,0,7,9,4,13,8,20,"Michail_Antonio_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
250,2022_2023,West Ham United,Thilo Kehrer,de GER,DF,25,4,4,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,1,1,0,1,38,16,3,5,0,163,188,3540,962,1,1,0,0,0,0,0,0,0,0,0,0,0,0,215,123,6,0,130,777,345,10,0,2,0,0,5,4,0,37,3,5,"Thilo_Kehrer_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
251,2022_2023,West Ham United,Saïd Benrahma,dz ALG,"FW,MF",27,6,3,326.0,3.6,0.0,0.0,0.0,0.3,0.3,1.0,1.3,9,3,21.8,1,0,0,1,1,0,0,43,13,4,0,0,93,116,1557,269,17,12,0,1,2,2,0,0,0,0,0,0,0,0,149,29,82,12,125,802,528,30,30,0,0,0,3,3,3,19,0,2,"Saïd_Benrahma_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
252,2022_2023,West Ham United,Ben Johnson,eng ENG,DF,22,4,3,218.0,2.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,,0,0,0,2,1,0,0,19,6,8,4,0,71,91,1619,636,2,2,0,0,0,0,0,0,0,0,0,0,0,0,118,65,10,0,62,346,154,4,0,0,0,0,0,0,0,19,2,2,"Ben_Johnson_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
253,2022_2023,West Ham United,Emerson Palmieri,it ITA,DF,28,3,2,141.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,1,1,1,1,9,1,0,2,0,51,70,833,222,1,1,0,0,0,0,0,0,0,0,0,0,0,0,78,23,21,3,43,261,188,8,3,1,0,0,3,0,0,13,1,1,"Emerson_Palmieri_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
254,2022_2023,West Ham United,Gianluca Scamacca,it ITA,FW,23,4,1,150.0,1.7,0.0,0.0,0.0,0.1,0.1,0.1,0.2,2,1,19.7,0,0,0,0,0,0,0,18,3,0,1,0,22,32,396,48,3,3,0,0,0,0,0,0,0,0,0,0,0,0,44,2,17,7,27,123,37,4,8,0,0,0,3,4,1,5,6,4,"Gianluca_Scamacca_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
255,2022_2023,West Ham United,Lucas Paquetá,br BRA,"MF,FW",25,2,1,106.0,1.2,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1,1,6.0,0,0,0,3,2,1,2,28,12,4,3,0,27,34,425,131,2,1,0,0,1,0,0,1,0,0,0,1,0,0,56,18,12,2,34,115,50,0,4,1,0,0,4,3,0,6,2,1,"Lucas_Paquetá_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
256,2022_2023,West Ham United,Manuel Lanzini,ar ARG,"MF,FW",29,3,1,95.0,1.1,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2,0,28.0,0,0,0,0,0,0,1,19,1,1,1,0,44,55,720,129,1,0,0,0,1,0,0,0,0,0,0,0,0,0,59,12,18,0,44,288,169,10,3,0,0,0,1,0,1,6,0,1,"Manuel_Lanzini_['W_e_s_t_', '_H_a_m_', '_U_n_i_t_e_d']"
257,2022_2023,Nottingham Forest,Scott McKenna,sct SCO,DF,25,6,6,540.0,6.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0,0,,0,0,0,7,5,1,2,52,14,15,3,1,190,249,4079,1241,3,3,0,0,0,0,0,0,0,0,0,0,0,0,307,131,23,6,167,678,357,14,0,3,0,0,5,2,0,51,17,10,"Scott_McKenna_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
258,2022_2023,Nottingham Forest,Neco Williams,wls WAL,DF,21,6,6,540.0,6.0,0.0,0.0,0.0,0.5,0.5,0.9,1.4,13,3,21.0,2,0,0,24,11,4,14,83,25,19,13,0,202,294,4105,1399,18,11,3,2,1,0,1,1,0,0,0,1,0,0,399,138,125,17,233,1299,816,33,9,2,0,0,7,5,0,63,6,10,"Neco_Williams_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
259,2022_2023,Nottingham Forest,Joe Worrall,eng ENG,DF,25,6,6,540.0,6.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,1,0,13.0,0,0,0,12,7,4,5,51,12,12,6,1,279,330,6438,1925,1,1,0,0,0,0,0,0,0,0,0,0,0,0,382,193,22,4,223,851,414,18,0,3,0,0,11,1,0,60,14,5,"Joe_Worrall_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
260,2022_2023,Nottingham Forest,Brennan Johnson,wls WAL,"FW,MF",21,6,6,500.0,5.6,2.0,0.0,1.0,1.4,0.7,0.1,0.7,9,2,17.4,0,1,1,3,3,1,1,56,12,6,4,0,52,92,804,124,4,2,0,0,1,0,1,0,0,0,0,0,0,0,142,6,93,27,100,529,360,22,30,2,0,0,6,3,5,21,2,15,"Brennan_Johnson_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
261,2022_2023,Nottingham Forest,Lewis O'Brien,eng ENG,MF,23,5,5,418.0,4.6,0.0,0.0,0.0,0.1,0.1,0.2,0.3,4,1,26.3,0,0,0,15,10,3,9,96,19,7,7,0,118,151,2338,398,14,10,0,1,0,2,1,0,0,0,0,0,0,0,203,47,47,1,145,804,503,20,2,2,0,0,4,9,0,45,3,4,"Lewis_O'Brien_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
262,2022_2023,Nottingham Forest,Jesse Lingard,eng ENG,"MF,FW",29,5,5,397.0,4.4,0.0,0.0,0.0,0.3,0.3,0.4,0.7,5,1,19.2,0,0,0,1,0,0,1,53,7,1,3,0,120,141,1937,557,14,10,0,1,2,0,1,1,0,0,0,1,0,0,174,20,70,8,122,611,412,24,18,0,0,0,4,4,0,21,0,6,"Jesse_Lingard_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
263,2022_2023,Nottingham Forest,Harry Toffolo,eng ENG,DF,27,5,4,382.0,4.2,0.0,0.0,0.0,0.1,0.1,0.4,0.6,2,0,13.5,0,0,0,6,3,0,4,30,6,12,9,0,125,181,2072,984,12,11,1,0,0,0,0,0,0,0,0,0,0,0,224,66,89,6,134,541,269,10,5,0,0,0,1,5,0,34,8,9,"Harry_Toffolo_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
264,2022_2023,Nottingham Forest,Ryan Yates,eng ENG,MF,24,4,3,268.0,3.0,0.0,0.0,0.0,0.6,0.6,0.1,0.7,8,1,16.5,0,0,0,5,3,2,3,46,13,6,2,0,105,121,2054,332,6,3,0,0,2,1,0,1,0,0,0,1,0,0,152,29,34,10,88,364,158,5,6,0,0,0,6,7,0,38,6,4,"Ryan_Yates_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
265,2022_2023,Nottingham Forest,Morgan Gibbs-White,eng ENG,"MF,FW",22,4,3,267.0,3.0,0.0,1.0,0.0,0.2,0.2,0.3,0.4,3,1,21.7,0,0,0,3,1,1,1,50,10,2,3,0,88,125,1563,521,8,6,2,0,0,0,0,1,0,1,0,0,0,0,156,12,93,10,114,451,245,14,29,0,0,0,2,3,0,12,2,9,"Morgan_Gibbs-White_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
266,2022_2023,Nottingham Forest,Steve Cook,eng ENG,DF,31,4,3,266.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,,0,0,0,5,1,4,5,16,5,3,2,0,132,148,3194,797,1,1,0,0,0,0,0,0,0,0,0,0,0,0,179,82,5,2,109,397,159,3,0,1,0,0,1,1,0,23,15,1,"Steve_Cook_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
267,2022_2023,Nottingham Forest,Taiwo Awoniyi,ng NGA,FW,25,6,2,232.0,2.6,1.0,0.0,1.0,0.9,0.9,0.1,1.0,6,2,9.8,0,0,0,3,2,1,2,31,11,0,1,0,48,61,608,32,7,4,0,1,0,2,0,0,0,0,0,0,0,0,94,8,51,14,69,366,224,13,20,0,0,0,6,6,3,15,2,11,"Taiwo_Awoniyi_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
268,2022_2023,Nottingham Forest,Cheikhou Kouyaté,sn SEN,"MF,DF",32,4,2,176.0,2.0,1.0,0.0,1.0,0.1,0.1,0.0,0.1,1,1,6.0,0,0,0,3,1,1,2,27,5,8,3,0,71,80,1565,235,1,1,0,0,0,0,0,0,0,0,0,0,0,0,105,34,15,2,56,273,82,2,1,1,0,0,6,0,0,11,4,2,"Cheikhou_Kouyaté_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
269,2022_2023,Nottingham Forest,Moussa Niakhate,fr FRA,DF,26,2,2,160.0,1.8,0.0,0.0,0.0,0.5,0.5,0.0,0.5,3,2,7.1,0,0,0,1,1,0,1,18,4,2,0,0,38,47,770,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,57,3,3,29,127,34,1,0,0,0,0,3,0,0,20,13,3,"Moussa_Niakhate_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
270,2022_2023,Nottingham Forest,Renan Lodi,br BRA,DF,24,2,2,158.0,1.8,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2,0,8.3,0,0,0,2,0,1,3,24,6,6,7,0,42,60,793,163,3,1,1,0,1,0,0,1,0,0,0,1,0,0,87,26,40,5,41,282,136,4,3,1,0,0,3,4,0,14,4,3,"Renan_Lodi_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
271,2022_2023,Nottingham Forest,Orel Mangala,be BEL,MF,24,3,2,153.0,1.7,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2,1,20.3,0,0,0,4,3,2,5,24,7,1,3,0,58,72,1050,176,2,2,0,0,0,0,0,0,0,0,0,0,0,0,83,13,19,1,62,300,158,7,2,0,0,0,2,1,0,17,3,2,"Orel_Mangala_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
272,2022_2023,Nottingham Forest,Jack Colback,eng ENG,MF,32,3,1,127.0,1.4,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0,0,,0,0,0,6,5,1,1,36,9,0,1,0,35,39,612,149,1,1,0,0,0,0,0,0,0,0,0,0,0,0,53,21,6,0,37,195,92,4,1,0,0,0,3,1,0,12,2,0,"Jack_Colback_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
273,2022_2023,Nottingham Forest,Remo Freuler,ch SUI,MF,30,2,1,106.0,1.2,0.0,0.0,0.0,0.1,0.1,0.0,0.1,2,0,21.0,0,0,0,1,0,1,3,12,1,2,3,0,35,37,543,147,1,0,0,0,1,0,0,0,0,0,0,0,0,0,46,14,7,2,33,123,74,4,1,0,0,0,0,2,0,4,0,1,"Remo_Freuler_['N_o_t_t_i_n_g_h_a_m_', '_F_o_r_e_s_t']"
274,2022_2023,Leicester City,Jonny Evans,nir NIR,DF,34,5,5,450.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,3,2,0,2,16,5,8,9,0,336,370,7188,2249,2,2,0,0,0,0,0,0,0,0,0,0,0,0,407,220,4,1,282,965,509,6,0,0,0,0,2,3,0,59,15,7,"Jonny_Evans_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
275,2022_2023,Leicester City,James Justin,eng ENG,DF,24,5,5,450.0,5.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,2,0,22.9,0,0,0,6,3,1,5,66,15,19,6,0,223,286,3880,1096,6,6,0,0,0,0,0,0,0,0,0,0,0,0,347,103,91,4,198,639,338,18,13,0,0,0,3,12,2,50,15,15,"James_Justin_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
276,2022_2023,Leicester City,Kiernan Dewsbury-Hall,eng ENG,"MF,FW",23,5,5,432.0,4.8,1.0,0.0,1.0,0.2,0.2,0.4,0.5,5,2,24.5,0,0,0,10,3,3,8,69,22,6,6,0,175,231,3325,842,13,9,0,1,1,2,0,0,0,0,0,0,0,0,295,56,97,4,211,1202,609,32,12,1,0,0,4,7,0,31,8,5,"Kiernan_Dewsbury-Hall_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
277,2022_2023,Leicester City,Jamie Vardy,eng ENG,FW,35,5,5,399.0,4.4,0.0,2.0,0.0,0.9,0.9,0.4,1.3,5,1,15.0,0,0,0,3,1,1,1,61,23,2,0,1,37,51,555,58,4,4,0,0,0,0,0,2,2,0,0,0,0,0,87,11,43,16,41,142,80,5,29,0,0,0,4,1,2,10,10,14,"Jamie_Vardy_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
278,2022_2023,Leicester City,Wilfred Ndidi,ng NGA,"MF,DF",25,5,4,362.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,9,5,3,6,59,19,4,10,0,232,264,3676,805,2,2,0,0,0,0,0,0,0,0,0,0,0,0,295,105,24,2,207,936,415,10,2,0,0,0,4,1,0,51,6,5,"Wilfred_Ndidi_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
279,2022_2023,Leicester City,Timothy Castagne,be BEL,DF,26,4,4,360.0,4.0,1.0,0.0,1.0,0.4,0.4,0.1,0.4,3,2,6.9,0,0,0,4,2,1,1,31,7,5,5,0,211,249,3147,998,5,5,0,0,0,0,0,0,0,0,0,0,0,0,293,81,111,9,185,682,384,29,14,0,0,0,2,2,1,25,9,11,"Timothy_Castagne_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
280,2022_2023,Leicester City,James Maddison,eng ENG,MF,25,4,4,360.0,4.0,2.0,1.0,2.0,0.7,0.7,0.3,1.0,13,4,20.6,3,0,0,2,1,1,5,55,14,3,2,0,162,210,3097,811,15,9,3,1,0,2,0,2,1,1,0,0,0,0,251,25,110,16,199,903,359,21,27,2,0,0,6,13,0,13,2,3,"James_Maddison_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
281,2022_2023,Leicester City,Youri Tielemans,be BEL,MF,25,5,4,341.0,3.8,0.0,0.0,0.0,0.2,0.2,1.1,1.2,6,2,25.2,0,0,0,8,7,3,6,34,12,6,1,0,216,259,3809,1308,13,12,0,0,1,0,0,0,0,0,0,0,0,0,298,59,76,2,222,780,468,22,15,0,0,0,4,6,0,39,6,4,"Youri_Tielemans_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
282,2022_2023,Leicester City,Daniel Amartey,gh GHA,DF,27,4,4,332.0,3.7,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1,0,38.2,0,0,0,7,3,3,3,18,6,5,4,0,271,294,5353,1865,5,5,0,0,0,0,0,1,1,0,0,0,0,0,326,125,27,4,222,1084,707,22,2,0,0,0,0,3,0,46,11,4,"Daniel_Amartey_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
283,2022_2023,Leicester City,Harvey Barnes,eng ENG,"MF,FW",24,3,3,255.0,2.8,1.0,0.0,1.0,0.6,0.6,0.0,0.6,8,3,16.7,0,0,0,0,0,0,1,30,6,2,1,0,60,84,814,262,2,2,0,0,0,0,0,1,1,0,0,0,0,0,125,18,71,10,100,559,394,23,18,0,0,0,2,8,0,9,4,8,"Harvey_Barnes_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
284,2022_2023,Leicester City,Wesley Fofana,fr FRA,DF,21,2,2,180.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,0.4,2,1,11.7,0,0,0,5,5,0,1,27,11,3,6,0,116,132,2215,645,2,1,0,0,0,0,1,0,0,0,0,0,0,0,162,71,8,3,110,654,344,12,1,1,0,0,2,3,1,14,6,5,"Wesley_Fofana_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
285,2022_2023,Leicester City,Boubakary Soumaré,fr FRA,MF,23,2,2,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,6,3,3,5,22,7,2,2,0,75,84,1298,294,1,1,0,0,0,0,0,0,0,0,0,0,0,0,98,26,6,0,72,411,183,4,3,0,0,0,1,2,0,18,3,2,"Boubakary_Soumaré_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
286,2022_2023,Leicester City,Ayoze Pérez,es ESP,MF,29,2,1,100.0,1.1,0.0,0.0,0.0,0.1,0.1,0.4,0.5,2,0,13.9,0,0,0,3,2,0,2,16,6,2,1,0,34,43,495,142,3,2,0,0,0,1,0,1,0,0,0,0,1,0,66,11,33,7,54,150,94,6,17,0,0,0,3,3,0,9,0,1,"Ayoze_Pérez_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
287,2022_2023,Leicester City,Luke Thomas,eng ENG,DF,21,1,1,90.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,,0,0,0,1,0,1,2,18,5,3,3,0,59,71,1031,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,24,14,0,45,232,115,1,1,0,0,0,0,1,0,11,2,3,"Luke_Thomas_['L_e_i_c_e_s_t_e_r_', '_C_i_t_y']"
